date,first_open,app_remove
20170917,42,29
20170916,26,26
20170915,35,27
20170914,29,20
20170913,22,18
20170912,40,24
20170911,42,29
20170910,31,22
20170909,21,17
20170908,21,13
20170907,26,21
20170906,22,16
20170905,13,9
20170904,11,8
20170903,11,12
20170902,17,15
20170901,19,10
20170831,9,7
20170830,21,15
20170829,10,6
20170828,11,8
20170827,20,15
20170826,12,7
20170825,10,5
20170824,6,4
20170823,5,7
20170822,16,14
20170821,12,2
20170820,10,9
20170819,6,6
20170818,10,4
20170817,9,4
20170816,6,3
20170815,4,3
20170814,8,5
20170813,7,10
20170812,6,6
20170811,6,3
20170810,5,8
20170809,9,3
20170808,5,7
